Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080774.859780, 245.500, 4.868, 1195.094
1460080774.859980, 250.500, 4.868, 1219.434
1460080774.860180, 246.500, 4.868, 1199.962
1460080774.860380, 252.000, 4.868, 1226.736
1460080774.860580, 250.000, 4.868, 1217.000
1460080774.860780, 250.500, 4.868, 1219.434
1460080774.860980, 249.500, 4.868, 1214.566
1460080774.861180, 247.500, 4.868, 1204.830
1460080774.861380, 247.000, 4.868, 1202.396
1460080774.861580, 244.000, 4.868, 1187.792
1460080774.861780, 241.000, 4.868, 1173.188
1460080774.861980, 240.500, 4.868, 1170.754
1460080774.862180, 240.500, 4.868, 1170.754
1460080774.862380, 241.000, 4.868, 1173.188
1460080774.862580, 240.500, 4.868, 1170.754
1460080774.862780, 240.500, 4.868, 1170.754
1460080774.862980, 240.500, 4.868, 1170.754
1460080774.863180, 240.500, 4.868, 1170.754
1460080774.863380, 240.500, 4.868, 1170.754
1460080774.863580, 240.500, 4.868, 1170.754
1460080774.863780, 240.500, 4.868, 1170.754
1460080774.863980, 240.500, 4.868, 1170.754
1460080774.864180, 241.500, 4.868, 1175.622
1460080774.864380, 244.000, 4.868, 1187.792
1460080774.864580, 242.000, 4.868, 1178.056
1460080774.864780, 241.000, 4.868, 1173.188
1460080774.864980, 240.500, 4.868, 1170.754
1460080774.865180, 240.500, 4.868, 1170.754
1460080774.865380, 241.000, 4.868, 1173.188
1460080774.865580, 241.500, 4.868, 1175.622
1460080774.865780, 240.500, 4.868, 1170.754
1460080774.865980, 239.000, 4.868, 1163.452
1460080774.866180, 242.000, 4.868, 1178.056
1460080774.866380, 243.500, 4.868, 1185.358
1460080774.866580, 244.000, 4.868, 1187.792
1460080774.866780, 242.500, 4.868, 1180.490
1460080774.866980, 241.000, 4.868, 1173.188
1460080774.867180, 240.500, 4.868, 1170.754
1460080774.867380, 239.000, 4.868, 1163.452
1460080774.867580, 240.000, 4.868, 1168.320
1460080774.867780, 240.500, 4.868, 1170.754
1460080774.867980, 241.500, 4.868, 1175.622
1460080774.868180, 241.000, 4.868, 1173.188
1460080774.868380, 241.500, 4.868, 1175.622
1460080774.868580, 242.000, 4.868, 1178.056
1460080774.868780, 241.000, 4.868, 1173.188
1460080774.868980, 240.500, 4.868, 1170.754
1460080774.869180, 240.500, 4.868, 1170.754
1460080774.869380, 240.500, 4.868, 1170.754
1460080774.869580, 241.000, 4.868, 1173.188
1460080774.869780, 240.500, 4.868, 1170.754
1460080774.869980, 240.500, 4.868, 1170.754
1460080774.870180, 240.500, 4.868, 1170.754
1460080774.870380, 241.000, 4.868, 1173.188
1460080774.870580, 241.000, 4.868, 1173.188
1460080774.870780, 240.500, 4.868, 1170.754
1460080774.870980, 240.000, 4.868, 1168.320
1460080774.871180, 239.500, 4.868, 1165.886
1460080774.871380, 239.500, 4.868, 1165.886
1460080774.871580, 235.500, 4.868, 1146.414
1460080774.871780, 264.500, 4.868, 1287.586
1460080774.871980, 280.000, 4.868, 1363.040
1460080774.872180, 286.000, 4.868, 1392.248
1460080774.872380, 290.500, 4.868, 1414.154
1460080774.872580, 288.500, 4.868, 1404.418
1460080774.872780, 286.000, 4.868, 1392.248
1460080774.872980, 289.000, 4.868, 1406.852
1460080774.873180, 290.000, 4.868, 1411.720
1460080774.873380, 288.500, 4.868, 1404.418
1460080774.873580, 285.500, 4.868, 1389.814
1460080774.873780, 286.500, 4.868, 1394.682
1460080774.873980, 286.500, 4.868, 1394.682
1460080774.874180, 286.500, 4.868, 1394.682
1460080774.874380, 288.500, 4.868, 1404.418
1460080774.874580, 289.000, 4.868, 1406.852
1460080774.874780, 288.500, 4.868, 1404.418
1460080774.874980, 286.500, 4.868, 1394.682
1460080774.875180, 286.000, 4.868, 1392.248
1460080774.875380, 286.000, 4.868, 1392.248
1460080774.875580, 286.500, 4.868, 1394.682
1460080774.875780, 286.500, 4.868, 1394.682
1460080774.875980, 286.500, 4.868, 1394.682
1460080774.876180, 286.000, 4.868, 1392.248
1460080774.876380, 286.000, 4.868, 1392.248
1460080774.876580, 286.500, 4.868, 1394.682
1460080774.876780, 286.000, 4.868, 1392.248
1460080774.876980, 286.500, 4.868, 1394.682
1460080774.877180, 286.500, 4.868, 1394.682
1460080774.877380, 290.000, 4.868, 1411.720
1460080774.877580, 294.000, 4.868, 1431.192
1460080774.877780, 292.000, 4.868, 1421.456
1460080774.877980, 297.500, 4.868, 1448.230
1460080774.878180, 291.000, 4.868, 1416.588
1460080774.878380, 297.000, 4.868, 1445.796
1460080774.878580, 295.500, 4.868, 1438.494
1460080774.878780, 295.500, 4.868, 1438.494
1460080774.878980, 295.000, 4.868, 1436.060
1460080774.879180, 292.000, 4.868, 1421.456
1460080774.879380, 291.500, 4.868, 1419.022
1460080774.879580, 289.500, 4.868, 1409.286
1460080774.879780, 286.500, 4.868, 1394.682
1460080774.879980, 286.000, 4.868, 1392.248
1460080774.880180, 287.000, 4.868, 1397.116
1460080774.880380, 289.500, 4.868, 1409.286
1460080774.880580, 287.000, 4.868, 1397.116
1460080774.880780, 286.000, 4.868, 1392.248
1460080774.880980, 286.000, 4.868, 1392.248
1460080774.881180, 286.500, 4.868, 1394.682
1460080774.881380, 286.500, 4.868, 1394.682
1460080774.881580, 286.000, 4.868, 1392.248
1460080774.881780, 286.000, 4.868, 1392.248
1460080774.881980, 286.000, 4.868, 1392.248
1460080774.882180, 286.500, 4.868, 1394.682
1460080774.882380, 287.500, 4.868, 1399.550
1460080774.882580, 288.500, 4.868, 1404.418
1460080774.882780, 287.000, 4.868, 1397.116
1460080774.882980, 286.000, 4.868, 1392.248
1460080774.883180, 286.500, 4.868, 1394.682
1460080774.883380, 287.000, 4.868, 1397.116
1460080774.883580, 275.500, 4.868, 1341.134
1460080774.883780, 251.000, 4.868, 1221.868
1460080774.883980, 246.000, 4.868, 1197.528
1460080774.884180, 249.500, 4.868, 1214.566
1460080774.884380, 251.000, 4.868, 1221.868
1460080774.884580, 251.500, 4.868, 1224.302
1460080774.884780, 251.500, 4.868, 1224.302
1460080774.884980, 251.000, 4.868, 1221.868
1460080774.885180, 251.000, 4.868, 1221.868
1460080774.885380, 252.500, 4.868, 1229.170
1460080774.885580, 252.000, 4.868, 1226.736
1460080774.885780, 252.000, 4.868, 1226.736
1460080774.885980, 247.500, 4.868, 1204.830
1460080774.886180, 241.500, 4.868, 1175.622
1460080774.886380, 241.000, 4.868, 1173.188
1460080774.886580, 241.000, 4.868, 1173.188
1460080774.886780, 241.000, 4.868, 1173.188
1460080774.886980, 240.500, 4.868, 1170.754
1460080774.887180, 240.500, 4.868, 1170.754
1460080774.887380, 241.000, 4.868, 1173.188
1460080774.887580, 240.500, 4.868, 1170.754
1460080774.887780, 239.500, 4.868, 1165.886
1460080774.887980, 239.500, 4.868, 1165.886
1460080774.888180, 240.500, 4.868, 1170.754
1460080774.888380, 243.000, 4.868, 1182.924
1460080774.888580, 240.500, 4.868, 1170.754
1460080774.888780, 240.000, 4.868, 1168.320
1460080774.888980, 239.500, 4.868, 1165.886
1460080774.889180, 239.500, 4.868, 1165.886
1460080774.889380, 239.500, 4.868, 1165.886
1460080774.889580, 239.500, 4.868, 1165.886
1460080774.889780, 239.000, 4.868, 1163.452
1460080774.889980, 239.500, 4.868, 1165.886
1460080774.890180, 239.500, 4.868, 1165.886
1460080774.890380, 241.000, 4.868, 1173.188
1460080774.890580, 243.000, 4.868, 1182.924
1460080774.890780, 242.500, 4.868, 1180.490
1460080774.890980, 241.000, 4.868, 1173.188
1460080774.891180, 241.000, 4.868, 1173.188
1460080774.891380, 241.000, 4.868, 1173.188
1460080774.891580, 241.000, 4.868, 1173.188
1460080774.891780, 241.000, 4.868, 1173.188
1460080774.891980, 241.000, 4.868, 1173.188
1460080774.892180, 241.000, 4.868, 1173.188
1460080774.892380, 241.000, 4.868, 1173.188
1460080774.892580, 241.000, 4.868, 1173.188
1460080774.892780, 240.500, 4.868, 1170.754
1460080774.892980, 241.000, 4.868, 1173.188
1460080774.893180, 240.500, 4.868, 1170.754
1460080774.893380, 241.000, 4.868, 1173.188
1460080774.893580, 240.500, 4.868, 1170.754
1460080774.893780, 241.500, 4.868, 1175.622
1460080774.893980, 242.000, 4.868, 1178.056
1460080774.894180, 241.500, 4.868, 1175.622
1460080774.894380, 241.000, 4.868, 1173.188
1460080774.894580, 241.000, 4.868, 1173.188
1460080774.894780, 240.500, 4.868, 1170.754
1460080774.894980, 240.500, 4.868, 1170.754
1460080774.895180, 240.500, 4.868, 1170.754
1460080774.895380, 244.000, 4.868, 1187.792
1460080774.895580, 247.500, 4.868, 1204.830
1460080774.895780, 246.000, 4.868, 1197.528
1460080774.895980, 250.500, 4.868, 1219.434
1460080774.896180, 247.000, 4.868, 1202.396
1460080774.896380, 254.000, 4.868, 1236.472
1460080774.896580, 251.000, 4.868, 1221.868
1460080774.896780, 250.500, 4.868, 1219.434
1460080774.896980, 249.000, 4.868, 1212.132
1460080774.897180, 246.500, 4.868, 1199.962
1460080774.897380, 248.000, 4.868, 1207.264
1460080774.897580, 245.000, 4.868, 1192.660
1460080774.897780, 241.500, 4.868, 1175.622
1460080774.897980, 241.000, 4.868, 1173.188
1460080774.898180, 241.000, 4.868, 1173.188
1460080774.898380, 242.000, 4.868, 1178.056
1460080774.898580, 243.000, 4.868, 1182.924
1460080774.898780, 242.000, 4.868, 1178.056
1460080774.898980, 241.000, 4.868, 1173.188
1460080774.899180, 240.500, 4.868, 1170.754
1460080774.899380, 239.500, 4.868, 1165.886
1460080774.899580, 241.500, 4.868, 1175.622
1460080774.899780, 241.000, 4.868, 1173.188
1460080774.899980, 240.500, 4.868, 1170.754
1460080774.900180, 240.000, 4.868, 1168.320
1460080774.900380, 240.500, 4.868, 1170.754
1460080774.900580, 240.500, 4.868, 1170.754
1460080774.900780, 240.500, 4.868, 1170.754
1460080774.900980, 240.500, 4.868, 1170.754
1460080774.901180, 240.000, 4.868, 1168.320
1460080774.901380, 241.000, 4.868, 1173.188
