Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081075.511650, 241.500, 4.908, 1185.161
1460081075.511850, 242.000, 4.908, 1187.615
1460081075.512050, 241.500, 4.908, 1185.161
1460081075.512250, 241.000, 4.908, 1182.708
1460081075.512450, 241.500, 4.908, 1185.161
1460081075.512650, 242.000, 4.908, 1187.615
1460081075.512850, 242.000, 4.908, 1187.615
1460081075.513050, 241.500, 4.908, 1185.161
1460081075.513250, 241.500, 4.908, 1185.161
1460081075.513450, 242.000, 4.908, 1187.615
1460081075.513650, 241.500, 4.908, 1185.161
1460081075.513850, 241.000, 4.908, 1182.708
1460081075.514050, 242.000, 4.908, 1187.615
1460081075.514250, 241.500, 4.908, 1185.161
1460081075.514450, 242.000, 4.908, 1187.615
1460081075.514650, 245.000, 4.908, 1202.338
1460081075.514850, 243.500, 4.908, 1194.976
1460081075.515050, 242.000, 4.908, 1187.615
1460081075.515250, 241.500, 4.908, 1185.161
1460081075.515450, 241.500, 4.908, 1185.161
1460081075.515650, 248.500, 4.908, 1219.514
1460081075.515850, 248.500, 4.908, 1219.514
1460081075.516050, 247.500, 4.908, 1214.606
1460081075.516250, 250.000, 4.908, 1226.875
1460081075.516450, 252.500, 4.908, 1239.144
1460081075.516650, 254.000, 4.908, 1246.505
1460081075.516850, 253.000, 4.908, 1241.598
1460081075.517050, 253.000, 4.908, 1241.598
1460081075.517250, 248.000, 4.908, 1217.060
1460081075.517450, 247.000, 4.908, 1212.153
1460081075.517650, 246.000, 4.908, 1207.245
1460081075.517850, 242.000, 4.908, 1187.615
1460081075.518050, 240.500, 4.908, 1180.254
1460081075.518250, 241.000, 4.908, 1182.708
1460081075.518450, 240.500, 4.908, 1180.254
1460081075.518650, 240.500, 4.908, 1180.254
1460081075.518850, 240.500, 4.908, 1180.254
1460081075.519050, 239.500, 4.908, 1175.346
1460081075.519250, 240.000, 4.908, 1177.800
1460081075.519450, 241.000, 4.908, 1182.708
1460081075.519650, 240.500, 4.908, 1180.254
1460081075.519850, 241.500, 4.908, 1185.161
1460081075.520050, 242.000, 4.908, 1187.615
1460081075.520250, 241.500, 4.908, 1185.161
1460081075.520450, 241.500, 4.908, 1185.161
1460081075.520650, 241.000, 4.908, 1182.708
1460081075.520850, 242.000, 4.908, 1187.615
1460081075.521050, 242.000, 4.908, 1187.615
1460081075.521250, 242.000, 4.908, 1187.615
1460081075.521450, 243.000, 4.908, 1192.523
1460081075.521650, 244.000, 4.908, 1197.430
1460081075.521850, 242.500, 4.908, 1190.069
1460081075.522050, 242.000, 4.908, 1187.615
1460081075.522250, 241.000, 4.908, 1182.708
1460081075.522450, 242.000, 4.908, 1187.615
1460081075.522650, 248.500, 4.908, 1219.514
1460081075.522850, 245.000, 4.908, 1202.338
1460081075.523050, 242.500, 4.908, 1190.069
1460081075.523250, 242.000, 4.908, 1187.615
1460081075.523450, 242.000, 4.908, 1187.615
1460081075.523650, 241.500, 4.908, 1185.161
1460081075.523850, 241.000, 4.908, 1182.708
1460081075.524050, 242.500, 4.908, 1190.069
