Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080900.328040, 240.500, 4.906, 1179.989
1460080900.328240, 246.000, 4.906, 1206.974
1460080900.328440, 236.500, 4.906, 1160.364
1460080900.328640, 244.500, 4.906, 1199.615
1460080900.328840, 242.500, 4.906, 1189.802
1460080900.329040, 249.000, 4.906, 1221.694
1460080900.329240, 246.000, 4.906, 1206.974
1460080900.329440, 246.500, 4.906, 1209.428
1460080900.329640, 248.500, 4.906, 1219.240
1460080900.329840, 250.500, 4.906, 1229.053
1460080900.330040, 250.500, 4.906, 1229.053
1460080900.330240, 248.000, 4.906, 1216.787
1460080900.330440, 251.000, 4.906, 1231.506
1460080900.330640, 249.500, 4.906, 1224.147
1460080900.330840, 247.500, 4.906, 1214.334
1460080900.331040, 247.500, 4.906, 1214.334
1460080900.331240, 241.500, 4.906, 1184.896
1460080900.331440, 240.000, 4.906, 1177.536
1460080900.331640, 240.000, 4.906, 1177.536
1460080900.331840, 240.000, 4.906, 1177.536
1460080900.332040, 240.000, 4.906, 1177.536
1460080900.332240, 242.000, 4.906, 1187.349
1460080900.332440, 241.500, 4.906, 1184.896
1460080900.332640, 241.000, 4.906, 1182.442
1460080900.332840, 240.500, 4.906, 1179.989
1460080900.333040, 241.000, 4.906, 1182.442
1460080900.333240, 241.000, 4.906, 1182.442
1460080900.333440, 241.000, 4.906, 1182.442
1460080900.333640, 241.000, 4.906, 1182.442
1460080900.333840, 241.000, 4.906, 1182.442
1460080900.334040, 241.000, 4.906, 1182.442
1460080900.334240, 241.000, 4.906, 1182.442
1460080900.334440, 241.000, 4.906, 1182.442
1460080900.334640, 241.000, 4.906, 1182.442
1460080900.334840, 241.000, 4.906, 1182.442
1460080900.335040, 241.000, 4.906, 1182.442
1460080900.335240, 240.500, 4.906, 1179.989
1460080900.335440, 241.500, 4.906, 1184.896
1460080900.335640, 241.000, 4.906, 1182.442
1460080900.335840, 241.500, 4.906, 1184.896
1460080900.336040, 240.500, 4.906, 1179.989
1460080900.336240, 241.000, 4.906, 1182.442
1460080900.336440, 241.500, 4.906, 1184.896
1460080900.336640, 244.000, 4.906, 1197.162
1460080900.336840, 242.500, 4.906, 1189.802
1460080900.337040, 254.000, 4.906, 1246.226
1460080900.337240, 250.500, 4.906, 1229.053
1460080900.337440, 242.500, 4.906, 1189.802
1460080900.337640, 242.000, 4.906, 1187.349
1460080900.337840, 241.500, 4.906, 1184.896
1460080900.338040, 241.500, 4.906, 1184.896
1460080900.338240, 240.500, 4.906, 1179.989
1460080900.338440, 240.500, 4.906, 1179.989
1460080900.338640, 245.000, 4.906, 1202.068
1460080900.338840, 243.500, 4.906, 1194.708
1460080900.339040, 244.000, 4.906, 1197.162
1460080900.339240, 241.500, 4.906, 1184.896
1460080900.339440, 241.000, 4.906, 1182.442
1460080900.339640, 241.500, 4.906, 1184.896
1460080900.339840, 241.000, 4.906, 1182.442
1460080900.340040, 241.000, 4.906, 1182.442
1460080900.340240, 241.500, 4.906, 1184.896
1460080900.340440, 241.000, 4.906, 1182.442
1460080900.340640, 241.000, 4.906, 1182.442
1460080900.340840, 241.000, 4.906, 1182.442
1460080900.341040, 241.000, 4.906, 1182.442
1460080900.341240, 241.000, 4.906, 1182.442
1460080900.341440, 241.000, 4.906, 1182.442
1460080900.341640, 241.000, 4.906, 1182.442
1460080900.341840, 240.500, 4.906, 1179.989
1460080900.342040, 240.500, 4.906, 1179.989
1460080900.342240, 241.000, 4.906, 1182.442
1460080900.342440, 241.000, 4.906, 1182.442
1460080900.342640, 240.500, 4.906, 1179.989
1460080900.342840, 241.000, 4.906, 1182.442
1460080900.343040, 241.000, 4.906, 1182.442
1460080900.343240, 241.000, 4.906, 1182.442
1460080900.343440, 241.000, 4.906, 1182.442
1460080900.343640, 240.500, 4.906, 1179.989
1460080900.343840, 241.000, 4.906, 1182.442
1460080900.344040, 241.000, 4.906, 1182.442
1460080900.344240, 240.500, 4.906, 1179.989
1460080900.344440, 240.500, 4.906, 1179.989
1460080900.344640, 243.000, 4.906, 1192.255
1460080900.344840, 243.000, 4.906, 1192.255
1460080900.345040, 241.500, 4.906, 1184.896
1460080900.345240, 241.000, 4.906, 1182.442
1460080900.345440, 242.500, 4.906, 1189.802
1460080900.345640, 241.500, 4.906, 1184.896
1460080900.345840, 241.000, 4.906, 1182.442
1460080900.346040, 240.000, 4.906, 1177.536
1460080900.346240, 243.500, 4.906, 1194.708
1460080900.346440, 236.500, 4.906, 1160.364
1460080900.346640, 242.000, 4.906, 1187.349
1460080900.346840, 241.500, 4.906, 1184.896
1460080900.347040, 250.000, 4.906, 1226.600
1460080900.347240, 246.000, 4.906, 1206.974
1460080900.347440, 245.500, 4.906, 1204.521
1460080900.347640, 247.000, 4.906, 1211.881
1460080900.347840, 250.000, 4.906, 1226.600
1460080900.348040, 250.500, 4.906, 1229.053
1460080900.348240, 248.000, 4.906, 1216.787
1460080900.348440, 250.500, 4.906, 1229.053
1460080900.348640, 248.000, 4.906, 1216.787
1460080900.348840, 247.500, 4.906, 1214.334
