Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080966.420710, 251.500, 4.911, 1235.016
1460080966.420910, 246.500, 4.911, 1210.463
1460080966.421110, 236.500, 4.911, 1161.357
1460080966.421310, 248.000, 4.911, 1217.829
1460080966.421510, 254.500, 4.911, 1249.748
1460080966.421710, 243.500, 4.911, 1195.731
1460080966.421910, 241.000, 4.911, 1183.455
1460080966.422110, 241.000, 4.911, 1183.455
1460080966.422310, 240.500, 4.911, 1180.999
1460080966.422510, 240.500, 4.911, 1180.999
1460080966.422710, 240.500, 4.911, 1180.999
1460080966.422910, 239.500, 4.911, 1176.089
1460080966.423110, 241.500, 4.911, 1185.910
1460080966.423310, 241.000, 4.911, 1183.455
1460080966.423510, 247.000, 4.911, 1212.918
1460080966.423710, 244.000, 4.911, 1198.186
1460080966.423910, 241.000, 4.911, 1183.455
1460080966.424110, 240.500, 4.911, 1180.999
1460080966.424310, 241.000, 4.911, 1183.455
1460080966.424510, 241.000, 4.911, 1183.455
1460080966.424710, 240.500, 4.911, 1180.999
1460080966.424910, 240.500, 4.911, 1180.999
1460080966.425110, 240.500, 4.911, 1180.999
1460080966.425310, 240.500, 4.911, 1180.999
1460080966.425510, 244.000, 4.911, 1198.186
1460080966.425710, 244.000, 4.911, 1198.186
1460080966.425910, 241.500, 4.911, 1185.910
1460080966.426110, 240.500, 4.911, 1180.999
1460080966.426310, 241.000, 4.911, 1183.455
1460080966.426510, 240.500, 4.911, 1180.999
1460080966.426710, 241.000, 4.911, 1183.455
1460080966.426910, 240.500, 4.911, 1180.999
1460080966.427110, 246.000, 4.911, 1208.008
1460080966.427310, 248.500, 4.911, 1220.284
1460080966.427510, 249.500, 4.911, 1225.195
1460080966.427710, 248.500, 4.911, 1220.284
1460080966.427910, 254.000, 4.911, 1247.292
1460080966.428110, 252.000, 4.911, 1237.471
1460080966.428310, 249.000, 4.911, 1222.739
1460080966.428510, 250.500, 4.911, 1230.105
1460080966.428710, 249.000, 4.911, 1222.739
1460080966.428910, 246.000, 4.911, 1208.008
1460080966.429110, 247.000, 4.911, 1212.918
