Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080930.024440, 250.000, 4.912, 1228.100
1460080930.024640, 257.000, 4.912, 1262.487
1460080930.024840, 248.000, 4.912, 1218.275
1460080930.025040, 250.500, 4.912, 1230.556
1460080930.025240, 251.000, 4.912, 1233.012
1460080930.025440, 248.500, 4.912, 1220.731
1460080930.025640, 247.000, 4.912, 1213.363
1460080930.025840, 246.500, 4.912, 1210.907
1460080930.026040, 243.500, 4.912, 1196.169
1460080930.026240, 242.500, 4.912, 1191.257
1460080930.026440, 242.000, 4.912, 1188.801
1460080930.026640, 241.000, 4.912, 1183.888
1460080930.026840, 241.000, 4.912, 1183.888
1460080930.027040, 241.500, 4.912, 1186.345
1460080930.027240, 243.000, 4.912, 1193.713
1460080930.027440, 243.500, 4.912, 1196.169
1460080930.027640, 242.000, 4.912, 1188.801
1460080930.027840, 241.500, 4.912, 1186.345
1460080930.028040, 240.500, 4.912, 1181.432
1460080930.028240, 240.500, 4.912, 1181.432
1460080930.028440, 240.500, 4.912, 1181.432
1460080930.028640, 240.000, 4.912, 1178.976
1460080930.028840, 241.000, 4.912, 1183.888
1460080930.029040, 240.500, 4.912, 1181.432
1460080930.029240, 243.000, 4.912, 1193.713
1460080930.029440, 243.000, 4.912, 1193.713
1460080930.029640, 244.000, 4.912, 1198.626
1460080930.029840, 243.000, 4.912, 1193.713
1460080930.030040, 242.000, 4.912, 1188.801
1460080930.030240, 242.000, 4.912, 1188.801
1460080930.030440, 241.500, 4.912, 1186.345
1460080930.030640, 241.500, 4.912, 1186.345
1460080930.030840, 242.000, 4.912, 1188.801
1460080930.031040, 241.500, 4.912, 1186.345
1460080930.031240, 241.500, 4.912, 1186.345
1460080930.031440, 242.000, 4.912, 1188.801
1460080930.031640, 241.000, 4.912, 1183.888
1460080930.031840, 242.000, 4.912, 1188.801
1460080930.032040, 242.000, 4.912, 1188.801
1460080930.032240, 242.000, 4.912, 1188.801
1460080930.032440, 241.500, 4.912, 1186.345
1460080930.032640, 241.500, 4.912, 1186.345
1460080930.032840, 242.000, 4.912, 1188.801
1460080930.033040, 242.000, 4.912, 1188.801
1460080930.033240, 241.500, 4.912, 1186.345
1460080930.033440, 238.000, 4.912, 1169.151
1460080930.033640, 264.500, 4.912, 1299.330
1460080930.033840, 282.000, 4.912, 1385.297
1460080930.034040, 290.000, 4.912, 1424.596
1460080930.034240, 293.500, 4.912, 1441.789
1460080930.034440, 293.500, 4.912, 1441.789
1460080930.034640, 291.000, 4.912, 1429.508
1460080930.034840, 293.000, 4.912, 1439.333
1460080930.035040, 294.000, 4.912, 1444.246
1460080930.035240, 293.000, 4.912, 1439.333
1460080930.035440, 291.500, 4.912, 1431.965
