Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080828.516000, 284.500, 4.867, 1384.633
1460080828.516200, 288.000, 4.867, 1401.667
1460080828.516400, 279.000, 4.867, 1357.865
1460080828.516600, 285.000, 4.867, 1387.067
1460080828.516800, 284.500, 4.867, 1384.633
1460080828.517000, 283.000, 4.867, 1377.333
1460080828.517200, 283.000, 4.867, 1377.333
1460080828.517400, 285.000, 4.867, 1387.067
1460080828.517600, 285.000, 4.867, 1387.067
1460080828.517800, 284.500, 4.867, 1384.633
1460080828.518000, 284.000, 4.867, 1382.200
1460080828.518200, 284.500, 4.867, 1384.633
1460080828.518400, 283.500, 4.867, 1379.766
1460080828.518600, 286.000, 4.867, 1391.933
1460080828.518800, 286.000, 4.867, 1391.933
1460080828.519000, 285.500, 4.867, 1389.500
1460080828.519200, 285.000, 4.867, 1387.067
1460080828.519400, 284.500, 4.867, 1384.633
1460080828.519600, 286.500, 4.867, 1394.367
1460080828.519800, 286.500, 4.867, 1394.367
1460080828.520000, 286.000, 4.867, 1391.933
1460080828.520200, 286.000, 4.867, 1391.933
1460080828.520400, 285.000, 4.867, 1387.067
1460080828.520600, 285.000, 4.867, 1387.067
1460080828.520800, 285.000, 4.867, 1387.067
1460080828.521000, 286.000, 4.867, 1391.933
1460080828.521200, 290.500, 4.867, 1413.834
1460080828.521400, 287.000, 4.867, 1396.800
1460080828.521600, 285.000, 4.867, 1387.067
1460080828.521800, 285.000, 4.867, 1387.067
1460080828.522000, 284.500, 4.867, 1384.633
1460080828.522200, 284.500, 4.867, 1384.633
1460080828.522400, 284.500, 4.867, 1384.633
1460080828.522600, 284.500, 4.867, 1384.633
1460080828.522800, 285.500, 4.867, 1389.500
1460080828.523000, 286.000, 4.867, 1391.933
1460080828.523200, 287.000, 4.867, 1396.800
1460080828.523400, 287.000, 4.867, 1396.800
1460080828.523600, 287.500, 4.867, 1399.234
1460080828.523800, 287.500, 4.867, 1399.234
1460080828.524000, 286.500, 4.867, 1394.367
1460080828.524200, 285.000, 4.867, 1387.067
1460080828.524400, 284.500, 4.867, 1384.633
1460080828.524600, 285.000, 4.867, 1387.067
1460080828.524800, 286.000, 4.867, 1391.933
1460080828.525000, 285.000, 4.867, 1387.067
1460080828.525200, 283.500, 4.867, 1379.766
1460080828.525400, 284.500, 4.867, 1384.633
1460080828.525600, 284.500, 4.867, 1384.633
1460080828.525800, 286.500, 4.867, 1394.367
1460080828.526000, 286.500, 4.867, 1394.367
1460080828.526200, 285.500, 4.867, 1389.500
1460080828.526400, 284.000, 4.867, 1382.200
1460080828.526600, 285.500, 4.867, 1389.500
1460080828.526800, 285.500, 4.867, 1389.500
1460080828.527000, 285.000, 4.867, 1387.067
1460080828.527200, 285.500, 4.867, 1389.500
1460080828.527400, 286.500, 4.867, 1394.367
1460080828.527600, 286.000, 4.867, 1391.933
1460080828.527800, 289.000, 4.867, 1406.534
1460080828.528000, 303.000, 4.867, 1474.671
1460080828.528200, 290.500, 4.867, 1413.834
1460080828.528400, 287.500, 4.867, 1399.234
1460080828.528600, 287.500, 4.867, 1399.234
