Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081155.168000, 302.500, 4.904, 1483.339
1460081155.168200, 280.500, 4.904, 1375.460
1460081155.168400, 267.000, 4.904, 1309.261
1460081155.168600, 284.500, 4.904, 1395.074
1460081155.168800, 286.500, 4.904, 1404.881
1460081155.169000, 287.000, 4.904, 1407.333
1460081155.169200, 261.000, 4.904, 1279.840
1460081155.169400, 245.500, 4.904, 1203.834
1460081155.169600, 246.500, 4.904, 1208.737
1460081155.169800, 248.000, 4.904, 1216.093
1460081155.170000, 242.500, 4.904, 1189.123
1460081155.170200, 241.500, 4.904, 1184.219
1460081155.170400, 241.500, 4.904, 1184.219
1460081155.170600, 241.000, 4.904, 1181.768
1460081155.170800, 241.000, 4.904, 1181.768
1460081155.171000, 241.000, 4.904, 1181.768
1460081155.171200, 241.000, 4.904, 1181.768
1460081155.171400, 241.000, 4.904, 1181.768
1460081155.171600, 246.500, 4.904, 1208.737
1460081155.171800, 247.500, 4.904, 1213.641
1460081155.172000, 247.000, 4.904, 1211.189
1460081155.172200, 243.500, 4.904, 1194.027
1460081155.172400, 242.000, 4.904, 1186.671
1460081155.172600, 241.500, 4.904, 1184.219
1460081155.172800, 241.000, 4.904, 1181.768
1460081155.173000, 241.500, 4.904, 1184.219
1460081155.173200, 241.500, 4.904, 1184.219
1460081155.173400, 241.000, 4.904, 1181.768
1460081155.173600, 241.000, 4.904, 1181.768
1460081155.173800, 241.000, 4.904, 1181.768
1460081155.174000, 241.000, 4.904, 1181.768
1460081155.174200, 241.000, 4.904, 1181.768
1460081155.174400, 242.000, 4.904, 1186.671
1460081155.174600, 242.000, 4.904, 1186.671
1460081155.174800, 241.500, 4.904, 1184.219
1460081155.175000, 240.500, 4.904, 1179.316
1460081155.175200, 240.000, 4.904, 1176.864
1460081155.175400, 240.500, 4.904, 1179.316
1460081155.175600, 241.000, 4.904, 1181.768
1460081155.175800, 253.500, 4.904, 1243.063
1460081155.176000, 250.000, 4.904, 1225.900
1460081155.176200, 243.000, 4.904, 1191.575
1460081155.176400, 240.500, 4.904, 1179.316
1460081155.176600, 240.000, 4.904, 1176.864
1460081155.176800, 240.000, 4.904, 1176.864
1460081155.177000, 239.500, 4.904, 1174.412
1460081155.177200, 239.500, 4.904, 1174.412
1460081155.177400, 240.000, 4.904, 1176.864
1460081155.177600, 248.500, 4.904, 1218.545
1460081155.177800, 249.000, 4.904, 1220.996
1460081155.178000, 242.500, 4.904, 1189.123
1460081155.178200, 242.000, 4.904, 1186.671
1460081155.178400, 241.500, 4.904, 1184.219
1460081155.178600, 241.000, 4.904, 1181.768
1460081155.178800, 241.000, 4.904, 1181.768
1460081155.179000, 241.000, 4.904, 1181.768
1460081155.179200, 241.500, 4.904, 1184.219
1460081155.179400, 241.000, 4.904, 1181.768
1460081155.179600, 243.500, 4.904, 1194.027
1460081155.179800, 243.000, 4.904, 1191.575
1460081155.180000, 245.500, 4.904, 1203.834
1460081155.180200, 249.500, 4.904, 1223.448
1460081155.180400, 247.500, 4.904, 1213.641
1460081155.180600, 246.000, 4.904, 1206.286
1460081155.180800, 250.000, 4.904, 1225.900
1460081155.181000, 251.500, 4.904, 1233.255
1460081155.181200, 251.500, 4.904, 1233.255
1460081155.181400, 250.000, 4.904, 1225.900
1460081155.181600, 251.000, 4.904, 1230.804
1460081155.181800, 248.500, 4.904, 1218.545
1460081155.182000, 248.500, 4.904, 1218.545
1460081155.182200, 246.500, 4.904, 1208.737
1460081155.182400, 242.500, 4.904, 1189.123
1460081155.182600, 241.000, 4.904, 1181.768
1460081155.182800, 241.500, 4.904, 1184.219
1460081155.183000, 241.500, 4.904, 1184.219
1460081155.183200, 241.000, 4.904, 1181.768
1460081155.183400, 241.000, 4.904, 1181.768
1460081155.183600, 241.000, 4.904, 1181.768
1460081155.183800, 241.000, 4.904, 1181.768
1460081155.184000, 241.000, 4.904, 1181.768
1460081155.184200, 241.000, 4.904, 1181.768
1460081155.184400, 242.000, 4.904, 1186.671
1460081155.184600, 242.500, 4.904, 1189.123
1460081155.184800, 241.500, 4.904, 1184.219
1460081155.185000, 241.500, 4.904, 1184.219
1460081155.185200, 241.000, 4.904, 1181.768
1460081155.185400, 240.500, 4.904, 1179.316
1460081155.185600, 243.000, 4.904, 1191.575
1460081155.185800, 244.000, 4.904, 1196.478
