Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460080861.343630, 248.500, 4.912, 1220.707
1460080861.343830, 247.500, 4.912, 1215.794
1460080861.344030, 243.500, 4.912, 1196.145
1460080861.344230, 241.500, 4.912, 1186.320
1460080861.344430, 242.000, 4.912, 1188.777
1460080861.344630, 242.000, 4.912, 1188.777
1460080861.344830, 241.500, 4.912, 1186.320
1460080861.345030, 242.000, 4.912, 1188.777
1460080861.345230, 242.000, 4.912, 1188.777
1460080861.345430, 242.000, 4.912, 1188.777
1460080861.345630, 242.000, 4.912, 1188.777
1460080861.345830, 241.500, 4.912, 1186.320
1460080861.346030, 242.500, 4.912, 1191.233
1460080861.346230, 242.000, 4.912, 1188.777
1460080861.346430, 241.500, 4.912, 1186.320
1460080861.346630, 241.500, 4.912, 1186.320
1460080861.346830, 241.000, 4.912, 1183.864
1460080861.347030, 242.000, 4.912, 1188.777
1460080861.347230, 241.500, 4.912, 1186.320
1460080861.347430, 241.500, 4.912, 1186.320
1460080861.347630, 241.500, 4.912, 1186.320
1460080861.347830, 241.500, 4.912, 1186.320
1460080861.348030, 241.500, 4.912, 1186.320
1460080861.348230, 246.500, 4.912, 1210.882
1460080861.348430, 244.500, 4.912, 1201.057
1460080861.348630, 242.000, 4.912, 1188.777
1460080861.348830, 241.500, 4.912, 1186.320
1460080861.349030, 241.500, 4.912, 1186.320
1460080861.349230, 241.500, 4.912, 1186.320
1460080861.349430, 241.000, 4.912, 1183.864
1460080861.349630, 241.500, 4.912, 1186.320
1460080861.349830, 241.500, 4.912, 1186.320
1460080861.350030, 241.500, 4.912, 1186.320
1460080861.350230, 245.500, 4.912, 1205.970
1460080861.350430, 243.000, 4.912, 1193.689
1460080861.350630, 244.500, 4.912, 1201.057
1460080861.350830, 242.000, 4.912, 1188.777
1460080861.351030, 241.500, 4.912, 1186.320
1460080861.351230, 242.000, 4.912, 1188.777
1460080861.351430, 241.500, 4.912, 1186.320
1460080861.351630, 241.500, 4.912, 1186.320
1460080861.351830, 241.500, 4.912, 1186.320
1460080861.352030, 241.500, 4.912, 1186.320
1460080861.352230, 245.000, 4.912, 1203.514
1460080861.352430, 243.000, 4.912, 1193.689
1460080861.352630, 244.000, 4.912, 1198.601
1460080861.352830, 242.000, 4.912, 1188.777
1460080861.353030, 242.000, 4.912, 1188.777
1460080861.353230, 241.500, 4.912, 1186.320
1460080861.353430, 241.500, 4.912, 1186.320
1460080861.353630, 241.500, 4.912, 1186.320
1460080861.353830, 241.500, 4.912, 1186.320
1460080861.354030, 241.500, 4.912, 1186.320
1460080861.354230, 241.000, 4.912, 1183.864
1460080861.354430, 241.500, 4.912, 1186.320
1460080861.354630, 241.500, 4.912, 1186.320
1460080861.354830, 241.500, 4.912, 1186.320
1460080861.355030, 241.500, 4.912, 1186.320
1460080861.355230, 241.500, 4.912, 1186.320
1460080861.355430, 241.000, 4.912, 1183.864
1460080861.355630, 241.000, 4.912, 1183.864
1460080861.355830, 241.000, 4.912, 1183.864
1460080861.356030, 241.500, 4.912, 1186.320
1460080861.356230, 245.000, 4.912, 1203.514
1460080861.356430, 243.500, 4.912, 1196.145
1460080861.356630, 242.000, 4.912, 1188.777
1460080861.356830, 241.500, 4.912, 1186.320
1460080861.357030, 242.000, 4.912, 1188.777
1460080861.357230, 242.000, 4.912, 1188.777
1460080861.357430, 240.500, 4.912, 1181.408
1460080861.357630, 240.500, 4.912, 1181.408
1460080861.357830, 241.000, 4.912, 1183.864
1460080861.358030, 240.000, 4.912, 1178.952
1460080861.358230, 243.500, 4.912, 1196.145
1460080861.358430, 243.500, 4.912, 1196.145
1460080861.358630, 244.000, 4.912, 1198.601
1460080861.358830, 245.000, 4.912, 1203.514
1460080861.359030, 237.000, 4.912, 1164.215
1460080861.359230, 240.500, 4.912, 1181.408
1460080861.359430, 240.000, 4.912, 1178.952
1460080861.359630, 240.500, 4.912, 1181.408
1460080861.359830, 246.500, 4.912, 1210.882
1460080861.360030, 247.000, 4.912, 1213.338
1460080861.360230, 248.500, 4.912, 1220.707
1460080861.360430, 248.000, 4.912, 1218.250
1460080861.360630, 252.000, 4.912, 1237.900
