Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081188.263270, 241.000, 4.905, 1182.081
1460081188.263470, 246.500, 4.905, 1209.058
1460081188.263670, 237.500, 4.905, 1164.914
1460081188.263870, 241.500, 4.905, 1184.533
1460081188.264070, 241.500, 4.905, 1184.533
1460081188.264270, 241.500, 4.905, 1184.533
1460081188.264470, 242.000, 4.905, 1186.986
1460081188.264670, 241.500, 4.905, 1184.533
1460081188.264870, 242.000, 4.905, 1186.986
1460081188.265070, 242.000, 4.905, 1186.986
1460081188.265270, 242.000, 4.905, 1186.986
1460081188.265470, 241.500, 4.905, 1184.533
1460081188.265670, 241.500, 4.905, 1184.533
1460081188.265870, 242.500, 4.905, 1189.438
1460081188.266070, 242.000, 4.905, 1186.986
1460081188.266270, 242.000, 4.905, 1186.986
1460081188.266470, 241.000, 4.905, 1182.081
1460081188.266670, 240.500, 4.905, 1179.628
1460081188.266870, 241.000, 4.905, 1182.081
1460081188.267070, 241.000, 4.905, 1182.081
1460081188.267270, 240.500, 4.905, 1179.628
1460081188.267470, 240.000, 4.905, 1177.176
1460081188.267670, 242.500, 4.905, 1189.438
1460081188.267870, 243.500, 4.905, 1194.343
1460081188.268070, 240.500, 4.905, 1179.628
1460081188.268270, 240.000, 4.905, 1177.176
1460081188.268470, 239.000, 4.905, 1172.271
1460081188.268670, 240.000, 4.905, 1177.176
1460081188.268870, 240.000, 4.905, 1177.176
1460081188.269070, 240.000, 4.905, 1177.176
1460081188.269270, 240.500, 4.905, 1179.628
1460081188.269470, 241.000, 4.905, 1182.081
1460081188.269670, 243.500, 4.905, 1194.343
1460081188.269870, 243.500, 4.905, 1194.343
1460081188.270070, 245.000, 4.905, 1201.701
1460081188.270270, 242.000, 4.905, 1186.986
1460081188.270470, 241.500, 4.905, 1184.533
1460081188.270670, 241.500, 4.905, 1184.533
1460081188.270870, 241.500, 4.905, 1184.533
1460081188.271070, 241.500, 4.905, 1184.533
1460081188.271270, 241.000, 4.905, 1182.081
1460081188.271470, 241.000, 4.905, 1182.081
1460081188.271670, 241.500, 4.905, 1184.533
1460081188.271870, 241.000, 4.905, 1182.081
1460081188.272070, 240.500, 4.905, 1179.628
1460081188.272270, 241.000, 4.905, 1182.081
1460081188.272470, 241.000, 4.905, 1182.081
1460081188.272670, 241.500, 4.905, 1184.533
1460081188.272870, 241.500, 4.905, 1184.533
1460081188.273070, 241.500, 4.905, 1184.533
1460081188.273270, 241.500, 4.905, 1184.533
1460081188.273470, 241.500, 4.905, 1184.533
1460081188.273670, 242.000, 4.905, 1186.986
1460081188.273870, 242.000, 4.905, 1186.986
1460081188.274070, 241.500, 4.905, 1184.533
1460081188.274270, 241.500, 4.905, 1184.533
1460081188.274470, 241.500, 4.905, 1184.533
1460081188.274670, 241.500, 4.905, 1184.533
1460081188.274870, 241.500, 4.905, 1184.533
1460081188.275070, 241.500, 4.905, 1184.533
1460081188.275270, 242.000, 4.905, 1186.986
1460081188.275470, 242.000, 4.905, 1186.986
1460081188.275670, 243.000, 4.905, 1191.891
1460081188.275870, 244.500, 4.905, 1199.248
1460081188.276070, 242.000, 4.905, 1186.986
1460081188.276270, 241.500, 4.905, 1184.533
1460081188.276470, 241.500, 4.905, 1184.533
1460081188.276670, 241.500, 4.905, 1184.533
1460081188.276870, 242.000, 4.905, 1186.986
1460081188.277070, 241.500, 4.905, 1184.533
1460081188.277270, 241.500, 4.905, 1184.533
1460081188.277470, 241.500, 4.905, 1184.533
1460081188.277670, 246.000, 4.905, 1206.605
1460081188.277870, 249.500, 4.905, 1223.773
1460081188.278070, 250.500, 4.905, 1228.677
1460081188.278270, 248.000, 4.905, 1216.415
1460081188.278470, 251.000, 4.905, 1231.130
1460081188.278670, 253.000, 4.905, 1240.940
1460081188.278870, 251.500, 4.905, 1233.582
1460081188.279070, 251.000, 4.905, 1231.130
1460081188.279270, 250.500, 4.905, 1228.677
1460081188.279470, 263.500, 4.905, 1292.441
1460081188.279670, 272.000, 4.905, 1334.133
1460081188.279870, 265.500, 4.905, 1302.251
1460081188.280070, 249.000, 4.905, 1221.320
1460081188.280270, 242.500, 4.905, 1189.438
1460081188.280470, 241.500, 4.905, 1184.533
1460081188.280670, 241.000, 4.905, 1182.081
1460081188.280870, 240.500, 4.905, 1179.628
1460081188.281070, 241.500, 4.905, 1184.533
1460081188.281270, 240.500, 4.905, 1179.628
1460081188.281470, 245.000, 4.905, 1201.701
1460081188.281670, 237.500, 4.905, 1164.914
1460081188.281870, 240.500, 4.905, 1179.628
1460081188.282070, 238.500, 4.905, 1169.819
1460081188.282270, 253.000, 4.905, 1240.940
1460081188.282470, 279.000, 4.905, 1368.467
1460081188.282670, 288.500, 4.905, 1415.064
