Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081013.165360, 245.500, 4.908, 1204.865
1460081013.165560, 247.500, 4.908, 1214.681
1460081013.165760, 244.500, 4.908, 1199.957
1460081013.165960, 245.000, 4.908, 1202.411
1460081013.166150, 243.500, 4.908, 1195.049
1460081013.166350, 243.500, 4.908, 1195.049
1460081013.166550, 244.000, 4.908, 1197.503
1460081013.166760, 248.500, 4.908, 1219.588
1460081013.166960, 250.000, 4.908, 1226.950
1460081013.167160, 244.500, 4.908, 1199.957
1460081013.167360, 243.500, 4.908, 1195.049
1460081013.167550, 243.000, 4.908, 1192.595
1460081013.167750, 243.000, 4.908, 1192.595
1460081013.167950, 244.000, 4.908, 1197.503
1460081013.168160, 250.000, 4.908, 1226.950
1460081013.168360, 248.500, 4.908, 1219.588
1460081013.168560, 249.000, 4.908, 1222.042
1460081013.168760, 287.000, 4.908, 1408.539
1460081013.168950, 300.500, 4.908, 1474.794
1460081013.169150, 305.500, 4.908, 1499.333
1460081013.169350, 301.000, 4.908, 1477.248
1460081013.169550, 303.500, 4.908, 1489.517
1460081013.169760, 299.000, 4.908, 1467.432
1460081013.169960, 298.500, 4.908, 1464.978
1460081013.170160, 297.000, 4.908, 1457.617
1460081013.170360, 294.000, 4.908, 1442.893
1460081013.170550, 293.000, 4.908, 1437.985
1460081013.170750, 292.000, 4.908, 1433.078
1460081013.170950, 292.000, 4.908, 1433.078
1460081013.171160, 292.000, 4.908, 1433.078
1460081013.171360, 292.000, 4.908, 1433.078
1460081013.171560, 289.000, 4.908, 1418.354
1460081013.171760, 288.000, 4.908, 1413.446
1460081013.171950, 287.000, 4.908, 1408.539
1460081013.172150, 286.500, 4.908, 1406.085
1460081013.172350, 286.500, 4.908, 1406.085
1460081013.172560, 286.500, 4.908, 1406.085
1460081013.172760, 286.000, 4.908, 1403.631
1460081013.172960, 286.500, 4.908, 1406.085
1460081013.173160, 286.000, 4.908, 1403.631
1460081013.173350, 286.500, 4.908, 1406.085
1460081013.173550, 286.500, 4.908, 1406.085
1460081013.173750, 287.000, 4.908, 1408.539
1460081013.173960, 291.000, 4.908, 1428.170
1460081013.174160, 292.000, 4.908, 1433.078
1460081013.174360, 278.000, 4.908, 1364.368
1460081013.174560, 250.500, 4.908, 1229.404
1460081013.174750, 244.500, 4.908, 1199.957
1460081013.174950, 243.000, 4.908, 1192.595
1460081013.175150, 241.500, 4.908, 1185.234
1460081013.175360, 240.500, 4.908, 1180.326
1460081013.175560, 241.000, 4.908, 1182.780
1460081013.175760, 241.000, 4.908, 1182.780
1460081013.175960, 241.000, 4.908, 1182.780
1460081013.176150, 240.500, 4.908, 1180.326
1460081013.176350, 241.500, 4.908, 1185.234
1460081013.176550, 241.000, 4.908, 1182.780
1460081013.176760, 243.000, 4.908, 1192.595
1460081013.176960, 242.500, 4.908, 1190.142
1460081013.177160, 244.000, 4.908, 1197.503
1460081013.177360, 241.500, 4.908, 1185.234
1460081013.177560, 241.000, 4.908, 1182.780
1460081013.177750, 240.000, 4.908, 1177.872
1460081013.177950, 240.000, 4.908, 1177.872
1460081013.178150, 246.000, 4.908, 1207.319
1460081013.178360, 253.500, 4.908, 1244.127
1460081013.178560, 243.000, 4.908, 1192.595
1460081013.178760, 244.000, 4.908, 1197.503
1460081013.178960, 241.500, 4.908, 1185.234
1460081013.179150, 243.000, 4.908, 1192.595
1460081013.179350, 239.000, 4.908, 1172.964
1460081013.179550, 239.500, 4.908, 1175.418
1460081013.179760, 240.000, 4.908, 1177.872
1460081013.179960, 239.500, 4.908, 1175.418
1460081013.180160, 240.000, 4.908, 1177.872
1460081013.180360, 241.000, 4.908, 1182.780
1460081013.180550, 241.500, 4.908, 1185.234
1460081013.180750, 240.500, 4.908, 1180.326
1460081013.180950, 240.500, 4.908, 1180.326
1460081013.181160, 241.000, 4.908, 1182.780
1460081013.181360, 240.500, 4.908, 1180.326
1460081013.181560, 241.000, 4.908, 1182.780
1460081013.181760, 241.000, 4.908, 1182.780
1460081013.181950, 240.500, 4.908, 1180.326
1460081013.182150, 240.500, 4.908, 1180.326
1460081013.182350, 240.000, 4.908, 1177.872
1460081013.182560, 240.500, 4.908, 1180.326
1460081013.182760, 249.500, 4.908, 1224.496
1460081013.182960, 245.000, 4.908, 1202.411
1460081013.183160, 242.000, 4.908, 1187.688
1460081013.183350, 241.500, 4.908, 1185.234
1460081013.183550, 245.000, 4.908, 1202.411
1460081013.183750, 236.500, 4.908, 1160.695
1460081013.183960, 241.000, 4.908, 1182.780
1460081013.184160, 240.500, 4.908, 1180.326
1460081013.184360, 241.000, 4.908, 1182.780
1460081013.184560, 241.000, 4.908, 1182.780
1460081013.184750, 243.500, 4.908, 1195.049
1460081013.184950, 242.500, 4.908, 1190.142
1460081013.185150, 244.000, 4.908, 1197.503
1460081013.185350, 241.500, 4.908, 1185.234
1460081013.185560, 241.000, 4.908, 1182.780
1460081013.185760, 241.000, 4.908, 1182.780
1460081013.185960, 241.500, 4.908, 1185.234
1460081013.186160, 247.500, 4.908, 1214.681
1460081013.186350, 249.000, 4.908, 1222.042
1460081013.186550, 260.000, 4.908, 1276.028
1460081013.186750, 256.500, 4.908, 1258.851
1460081013.186960, 253.000, 4.908, 1241.673
1460081013.187160, 252.000, 4.908, 1236.766
1460081013.187360, 249.000, 4.908, 1222.042
1460081013.187560, 251.000, 4.908, 1231.858
1460081013.187750, 247.000, 4.908, 1212.227
1460081013.187950, 247.000, 4.908, 1212.227
1460081013.188150, 245.500, 4.908, 1204.865
1460081013.188360, 242.000, 4.908, 1187.688
1460081013.188560, 241.000, 4.908, 1182.780
1460081013.188760, 240.500, 4.908, 1180.326
1460081013.188960, 241.000, 4.908, 1182.780
1460081013.189150, 240.500, 4.908, 1180.326
1460081013.189350, 240.500, 4.908, 1180.326
1460081013.189550, 240.500, 4.908, 1180.326
1460081013.189760, 240.500, 4.908, 1180.326
1460081013.189960, 240.500, 4.908, 1180.326
